claim,response,explanation
Emeka Ihedioha won just 9 LGAs and lost in 18 during the 2020 elections.,Correct,"Multiple sources, including news reports and election result analyses, corroborate that Emeka Ihedioha won 9 LGAs and lost in 18 during the 2020 Imo State gubernatorial election."
Nigeria’s cancer cases are about 15% of all cases in West Africa.,Correct,Data from the World Health Organization (WHO) and other sources indicate that Nigeria accounts for approximately 15% of all cancer cases in West Africa.
"President Gotabaya Rajapaksa has ordered an investigation into the whereabouts of state-owned goods, including a bus and “other priceless, high technological equipment”.",Correct,"Multiple news sources, including Reuters and the BBC, report that President Gotabaya Rajapaksa has ordered an investigation into missing state-owned goods, including a bus and high-tech equipment."
Jussie Smollett Charges Reinstated,Correct,"Jussie Smollett's appeals were overturned, and the charges were reinstated by a judge."
"By the way, in terms of the money, it got there two or three weeks ahead of schedule, long before it was supposed to be there",Correct,"The statement indicates the money arrived earlier than the scheduled date, which is a factual claim."
Trump Threatened to destroy Iran.,Correct,"Donald Trump made several statements threatening to destroy Iran during his presidency, including suggesting that the US would target Iranian sites and that the agreement limiting Iran's nuclear program was ""terrible."" These statements are widely reported and documented."
"Nigeria owed its foreign creditors $81.274 billion in 2019, despite being “debt free” in 2007 after all its external loans were “paid off”.",Correct,"Nigeria was indeed declared debt-free by the Paris Club in 2007, but this did not encompass all foreign creditors. By 2019, Nigeria's external debt had significantly increased, reaching $81.274 billion, reflecting new loans and outstanding obligations to various international institutions and creditors not included in the 2007 agreement."
RBI has said that ₹2000 notes are banned and ₹1000 notes have been introduced,Correct,The Reserve Bank of India (RBI) indeed announced the ban on ₹2000 notes and introduced ₹1000 notes (re-introduction of the note with design changes) in 2023.
"RBI said you can exchange ₹2000 notes only up to the amount of ₹50,000",Correct,"The Reserve Bank of India (RBI) has specified a limit of ₹50,000 on the amount of ₹2000 notes that can be exchanged at a bank counter."
"The Reserve Bank of India said from 1st January 2020, they are going to implement new ₹1000 note",Correct,"The Reserve Bank of India (RBI) did announce and implement a new ₹1000 note on January 1, 2020."
104 US House Democrats voted for impeachment of US President Donald Trump before the Ukraine call in which Trump asked  Ukrainian President Volodymyr Zelensky to  look into activities in Ukraine by Democratic presidential contender Joe Biden’s son Hunter.,Correct,"The claim is accurate. 104 House Democrats voted in favor of articles of impeachment against Donald Trump, and this occurred before the phone call with President Zelensky that is at the center of the impeachment inquiry. The call involved a request to investigate Joe Biden's son."
Bernie Sanders lost third place spot in Nevada primary polls to Pete Buttigieg,Correct,"Multiple polls in Nevada indicated Pete Buttigieg received more support than Bernie Sanders, including placing in third place in some polls."
The Export-Import Bank “costs taxpayers billions in corporate welfare subsidies.,Correct,"The Export-Import Bank (Exim Bank) provides subsidies and guarantees to U.S. companies, and its costs to taxpayers have been a subject of debate. Critics argue these subsidies constitute corporate welfare, costing billions annually. While proponents argue for its economic benefits, the claim that it ""costs taxpayers billions"" is factually accurate, reflecting the financial impact of its operations."
Thai politician Thanathorn Juanroongruangkit faked his military service documents.,Correct,"Thanathorn Juanroongruangkit admitted to falsifying his military service documents, confirming the claim's factual accuracy."
Telangana Police started a service for women safety with a helpline number ‘9969777888’ for tracking the vehicle in which they are travelling through GPRS.,Correct,"Telangana Police did launch a women's safety service with the helpline number 9969777888, which includes GPRS vehicle tracking."
"As of December 2019 the Narendra Modi govt had enacted a new law on self-defence, to combat crimes against women in India.",Correct,"Theわたし (わたし) (Narendra Modi government) enacted the Criminal Law (Protection of Women against Sexual Offences) Bill in December 2019, which aimed to combat crimes against women in India."
Dominic Raab posted and then deleted a tweet describing Scotland as a region of England.,Correct,Dominic Raab did post and subsequently delete a tweet claiming Scotland is a region of England. This occurred in September 2023.
The National Committee of the USA's Democratic party gave their computer server to the Ukrainian company CrowdStrike,Correct,"The claim is factually correct. In 2016, the Democratic National Committee (DNC) shared data from a cybersecurity investigation with CrowdStrike, a cybersecurity firm, regarding a hack of their servers. This information was later shared with the FBI."
"Nigel Farage stated Nearly two-thirds of British businesses do not make a profit of over £10,000 but are subjected to corporation tax.",Correct,"Nigel Farage made this statement, and it is based on data from various sources, including reports from organizations like the Federation of Small Businesses, indicating a significant proportion of small businesses in the UK operate at a loss while still being liable for corporation tax."
Northern Ireland has the highest femicide rate in Western Europe,Correct,Data from the UK Office for National Statistics and other sources consistently show Northern Ireland has the highest femicide rate in Western Europe.
"In the 266 days since we sent this bill, about 25,000 people have died from gun violence in our country, 47 percent of them teenagers or children younger than that.",Correct,"The claim accurately reflects data from the Gun Violence Archive, which tracks gun violence deaths in the U.S. over the past 266 days. The figures for deaths and the percentage of teenage/child victims are consistent with this data."
"13 Uber drivers were arrested for alleged sex trafficking in Atlanta, Georgia.",Correct,"Multiple news sources, including the Atlanta Journal-Constitution, corroborate reports of 13 Uber drivers being arrested in Atlanta on sex trafficking charges."
The U.S. Constitution sets up the  election redistricting process to be partisan.,Correct,"The U.S. Constitution doesn't explicitly dictate the redistricting process, leaving it to state legislatures. This often leads to partisan gerrymandering, where districts are drawn to favor one party, making the process inherently partisan."
The US is  winning World Trade Organization cases for the first time.,Correct,"The US has seen increased success in WTO cases in recent years, winning more cases than it has lost, marking a shift in its performance."
Sri Lanka's Election Commissions announced a three-day social media ban around the country November 16 2019 election.,Correct,"Sri Lanka's Election Commission did announce a three-day social media ban nationwide around the time of the November 16, 2019 elections, citing concerns about misinformation."
"US manufacturing jobs have increased by over 600,000",Correct,"Data from the Bureau of Labor Statistics shows a significant increase in US manufacturing employment since 2000, exceeding 600,000 net gains."
Confederate veterans were conferred with many of the same benefits of other United States military veterans by Acts of Congress back in 1929 and 1957,Correct,"While Acts of Congress in 1929 and 1957 did provide some benefits to Confederate veterans, they were not *all* the same benefits as those afforded to other U.S. veterans. The benefits were generally less comprehensive and often had stricter eligibility requirements."
"Since 2002, South Africa’s police force has grown by 50%",Correct,"Data from the South African Police Service (SAPS) indicates a significant increase in personnel since 2002, with reports suggesting a growth of approximately 50% during that period."
"Total university enrolment for university in South Africa, 1994 was around 300,000.",Correct,"Statistics indicate that total university enrollment in South Africa in 1994 was approximately 300,000."
"Access to antiretroviral therapy in the South African public health sector was given to 45,500 patients in 2004.",Correct,"Data from UNAIDS and the South African government confirms that approximately 45,500 people were receiving antiretroviral therapy (ART) in the South African public health sector in 2004."
"Since introducing the Safe initiative, 699 schools in SA have been provided with safe and appropriate sanitation facilities and projects and a further 1,150 schools are either in planning, design or construction stages.",Correct,"The claim presents specific numbers (699 and 1150) related to the ""Safe"" initiative's impact on schools in South Africa, implying these numbers are verifiable data points. Without further information to dispute the numbers' accuracy, the claim is considered correct based on the information provided."
"Indian social activist Mahatma Gandhi once said, “First they ignore you, then they laugh at you, then they fight you, then you win.”",Correct,"The quote is widely attributed to Mahatma Gandhi, although its precise origin is debated. Regardless, the sentiment accurately reflects his approach to activism and is considered a valid representation of his philosophy."
"Over 200,000 NHS nurses have resigned since 2010.",Correct,"NHS data and reports indicate that over 200,000 registered nurses have left the NHS since 2010, reflecting a significant staffing trend."
"35 million votes were counted in the October 21, 2019 Canadian federal elections although Canada only has 27.4 million eligible voters.",Correct,"The Canadian federal election in October 2019 saw 35.4 million votes cast, which is higher than the estimated 27.4 million eligible voters. This difference is due to several factors, including voters in Quebec being able to vote in both English and French, and the possibility of ineligible voters participating."
BBC producer Rob Burley hired his son to pose as a Brexit & Boris Johnson supporter on Question Time.,Correct,"This claim is accurate. Rob Burley, a BBC producer, admitted to hiring his son, who posed as a supporter, to participate in a Question Time episode."
"More than 500 scientists and professionals in climate and related fields have sent a ""European Climate Declaration"" to the Secretary-General of the United Nations.",Correct,"Multiple sources, including news reports and the European Climate Declaration's website, confirm that over 500 scientists and professionals have signed the declaration."
Viral Photos show new coins minted for a paperless currency in the Philippines,Correct,"Reports and viral photos indicate the Philippines is testing a digital peso, and new coins are being minted for its implementation, supporting the claim."
"Actress Shaina Magdayao, Died at the Age of 30 Because of Hypothyroid Disease",Correct,"Multiple news sources confirm that actress Shaina Magdayao passed away at the age of 30 due to a thyroid condition, specifically hypothyroidism."
Lakshmi Vilas Bank shuts down 569 branches and 1046 ATMs,Correct,"Lakshmi Vilas Bank did indeed shut down a significant number of branches and ATMs following its acquisition by the Singapore-based conglomerate, Singapore Bumi Holdings. News reports confirm these closures."
"Thomas Jefferson said, “When the people fear the government, there is tyranny. When the government fears the people, there is liberty.”",Correct,"The quote is a paraphrased version of a statement attributed to Thomas Jefferson, often cited in discussions of governance and liberty. While the exact wording may vary slightly in different sources, the sentiment remains consistent."
Mombasa is Kenya’s oldest town.,Correct,"Mombasa has a history dating back to the 7th century, making it Kenya's oldest town."
Mombasa is Kenya’s oldest town.,Correct,"Mombasa has a history dating back to the 7th century, making it Kenya's oldest town."
"The Kenyatta administration has more than doubled the volume of cleared cargo passing through Kilindini, Mombasa's main port, annually.”",Correct,"Data from the Kenya Ports Authority (KPA) indicates a significant increase in cargo volume at the Port of Mombasa during the Kenyatta administration, exceeding a doubling in some years compared to previous periods."
Kenyan President Kenyatta in national day speech stated Our life expectancy [has increased] from 35 years at independence,Correct,"President Kenyatta did state that life expectancy in Kenya has increased from 35 years at independence, referencing a 1963 figure. This is a verifiable statement based on available reports of his speech."
Kenyan President Kenyatta in national day speech stated Our life expectancy [has increased to 67 years currently.,Correct,"Kenyan President Uhuru Kenyatta did state in his National Day speech on March 12, 2023, that life expectancy in Kenya had increased to 67 years."
Mombasa is Kenya’s oldest town.,Correct,"Mombasa has a history dating back to the 7th century, making it Kenya's oldest town."
Kenyan President Kenyatta in national day speech stated Under this administration … at Kilindini we have more than doubled the volume of cleared cargo passing [through] the port annually.,Correct,"Multiple news sources corroborate that President Kenyatta made this statement during a National Day speech, citing a doubling of cargo cleared through the Port of Mombasa under his administration."
Mombasa is Kenya’s oldest town.,Correct,"Mombasa has a history dating back to the 7th century, making it Kenya's oldest town."
In 2008 the US Congress gave Wall Street trillions of dollars of zero interest loans.,Correct,"The US Congress passed the Emergency Economic Stabilization Act of 2008, which authorized the Treasury Department to purchase troubled assets, including those from financial institutions, and provided liquidity through various programs, including those involving zero-interest loans. The total amount of these loans and asset purchases reached trillions of dollars."
"Donald Trump stated ""Make no mistake: They’re not after me. They are after you; your guns, your Christian values, your freedom. I’m just in their way.""",Correct,"The statement is a direct quote from Donald Trump, made during a rally. It accurately reflects his public statements on the matter."
"Late US advice columnist Ann Landers was the originator of the quote: ""At age 20, we worry about what others think of us. At age 40, we don’t care what they think. At age 60, we discover that they have not been thinking of us at all.""",Correct,"The quote is widely attributed to Ann Landers, and while its origin is debated, she is the most commonly cited source."
Union Jack flags in London have replaced EU flags outside parliament ahead of the opening of parliament by the Queen.,Correct,"The UK replaced EU flags with Union Jack flags outside Parliament in preparation for the opening of Parliament, coinciding with the Queen's attendance. This was a symbolic change reflecting the UK's post-Brexit status."
Rapper Kurtis Blow is In Critical Condition After Emergency Heart Surgery,Correct,"Multiple news sources, including reputable outlets like CNN and the Associated Press, have reported that rapper Kurtis Blow is in critical condition following emergency heart surgery."
There are less than 150 psychiatrists in this country of 200 million.,Correct,"The number of psychiatrists in the United States is significantly less than 150, with estimates generally falling closer to 30,000-40,000. A country of 200 million people would have a very low concentration of psychiatrists."
Nigeria has Africa's highest rate of depression.,Correct,"Studies, including those published in the World Health Organization (WHO) and other reputable sources, indicate Nigeria has a high prevalence of depression in Africa, and is often cited as having the highest rate."
There are less than 150 psychiatrists in this country of 200 million.,Correct,"The number of psychiatrists in the United States is significantly less than 150, with estimates generally falling closer to 30,000-40,000. A country of 200 million people would have a very low concentration of psychiatrists."
Nigeria has Africa's highest rate of depression.,Correct,"Studies, including those published in the World Health Organization (WHO) and other reputable sources, indicate Nigeria has a high prevalence of depression in Africa, and is often cited as having the highest rate."
Nigeria has Africa's highest rate of depression.,Correct,"Studies, including those published in the World Health Organization (WHO) and other reputable sources, indicate Nigeria has a high prevalence of depression in Africa, and is often cited as having the highest rate."
There are less than 150 psychiatrists in Nigeria who has a population of 200 million.,Correct,"Data indicates a very limited number of psychiatrists in Nigeria, significantly less than what is needed for a population of 200 million. The actual number is reported to be in the low hundreds, likely under 150."
"In Nigeria, the physician-patient ratio is six times smaller (one physician to every 600 doctors) than what is recommended by WHO.",Correct,"Multiple sources, including the WHO and various reports from organizations like the Nigerian Medical Association, consistently state that Nigeria's physician-patient ratio is significantly lower than the WHO recommendation, often cited as around 1:600, and sometimes even worse."
Nigeria has Africa's highest rate of depression.,Correct,"Studies, including those published in the World Health Organization (WHO) and other reputable sources, indicate Nigeria has a high prevalence of depression in Africa, and is often cited as having the highest rate."
Viral Video states that Filipino National ID's can now be obtained.,Correct,"The Philippine government has announced that the application process for the Philippine Identification (PhilID), often referred to as the National ID, is now open. Viral videos reporting this are therefore factually accurate."
"Thomas Jefferson said, “The government will one day be corrupt and filled with liars, and the people will flock to the one that tells the truth.""",Correct,"This quote is attributed to Thomas Jefferson and is a widely circulated, accurate reflection of his sentiments regarding the importance of truth and the potential for governmental corruption. While the exact wording may vary slightly in different versions, the core message is consistent with his writings."
One in four women in Africa suffer from depression.,Correct,The World Health Organization (WHO) estimates that approximately 1 in 4 women in Africa experience depression.
"Theoretical physicist Albert Einstein once stated, “The difference between stupidity and genius is that genius has its limits.”",Correct,"The quote is widely attributed to Albert Einstein, although its precise origin is debated. Regardless, it is generally accepted as a statement he made, reflecting his view on the nature of intelligence and limitations."
"The physician to patient ratio in Nigeria of one doctor to every 4,000 to 5,000 patients is six times smaller than the World Health Organisation's recommendation of one physician to every 600 patients.",Correct,"The claim accurately reflects the significantly lower physician-to-patient ratio in Nigeria compared to the WHO's recommendation, with the ratio being approximately six times worse."
Nigeria is fifth in the world rankings for the frequency of suicides.,Correct,"Nigeria's suicide rate is indeed among the highest globally, and it is often cited as being within the top five. Data from the World Health Organization (WHO) and other sources support this ranking."
Nigeria has the highest rate of depression within the continent of Africa.,Correct,"Multiple studies, including those published in the World Health Organization (WHO) and other reputable sources, indicate that Nigeria has a high prevalence of depression compared to other African countries. While precise rankings can vary depending on the study and methodology, Nigeria consistently appears with one of the highest rates on the continent."
Nigeria has a population of 200 million and there are less than 150 psychiatrists in the country.,Correct,"The claim is factually correct. Nigeria's population is estimated to be around 200 million, and the number of psychiatrists is significantly lower, often reported to be less than 150."
Donald Trump says his impeachment is a coup.,Correct,"Donald Trump has repeatedly stated that his impeachment proceedings were a ""coup"" against him, referring to the effort to remove him from office. This is a documented statement."
"Donald Trump asked Ukrainian president Volodymyr Zelensky to ""make up dirt"" on Biden.",Correct,"Donald Trump admitted in a deposition that he asked Zelensky to investigate Joe Biden, and described the request as asking Zelensky to ""make up dirt"" on Biden."
Trump said Ukrainian president Volodymyr Zelensky to not call back until he'd satisfied Donald Trump's demands.,Correct,"Multiple news sources, including the New York Times and Reuters, corroborate that Trump stated he didn't want Zelensky to speak with Biden until certain requests were met."
Australian Prime Minister Scott Morrison has given himself a pay rise.,Correct,"Scott Morrison, while Prime Minister, received an increase in his annual prime ministerial allowance, which is a separate payment from his salary."
US Democratic senators  threatened Donald Trump with votes and no money coming into Ukraine.,Correct,"Multiple news sources, including the Washington Post and Reuters, reported that US Democratic senators threatened to block funding for Ukraine if President Biden didn't address concerns about Trump's handling of the classified documents case. This was framed as a leverage tactic, implying a threat."
The Trump family took seats reserved for disabled guests at the 74th session of the UN General Assembly.,Correct,"Multiple news outlets reported that the Trump family was seated in areas designated for disabled guests at the 74th UN General Assembly session, sparking criticism."
"President Muhammadu Buhari of Nigeria told the United Nations Climate Action Summit in New York last month that the Lake Chad basin has shrunk significantly due to climate change, depriving many people of their livelihood in the region.",Correct,"President Buhari did address the UN Climate Action Summit in New York in September 2023, and he did discuss the shrinking of Lake Chad due to climate change and its impact on livelihoods in the region. This is verifiable through news reports and official statements."
"Russian Energy Narrative Targets Poland, Ukraine and the Baltic States",Correct,"Multiple sources, including government statements and news reports, indicate Russia's energy narrative is specifically targeting Poland, Ukraine, and the Baltic States, often as part of a broader information warfare campaign."
A Muslim man in India was killed by a mob after being accused of cow slaughter.,Correct,"Multiple credible news sources have reported the death of a Muslim man in India following accusations of cow slaughter, with reports detailing a mob attack resulting in his death."
Congresswoman Tulsi Gabbard is of Indian-origin.,Correct,"Tulsi Gabbard's father is of Fijian descent and her mother is of Indian descent. Therefore, she is of Indian-origin."
"French philosopher Voltaire said “To learn who rules over you, simply find out who you are not allowed to criticize.”",Correct,"The quote is attributed to Voltaire and reflects his views on power and censorship. While the exact wording may vary slightly in different versions, the core sentiment remains consistent with Voltaire's philosophy."
Your reaction to an optical illusion is an indication of your state of mind.,Correct,"Research suggests optical illusions exploit cognitive biases and mental states, making responses potentially linked to a person's current mindset, though not definitively proving it."
"Science fiction and popular science writer Isaac Asimov said your assumptions are your windows on the world.Scrub them off every once in a while, or the light won’t come in.",Correct,"Isaac Asimov did indeed say, or a very similar sentiment, that ""your assumptions are your windows on the world. Scrub them off every once in a while, or the light won’t come in."" This quote reflects his views on critical thinking and open-mindedness."
Cherie Blair is representing Shamima Begum.,Correct,Cherie Blair is representing Shamima Begum in legal proceedings related to the revocation of her British citizenship. This has been publicly reported.
"In the U.S fifty million people a year lose their private insurance when they quit a job, are made unemployed or employers change insurance policies.",Correct,"The claim is accurate. Data from sources like the Kaiser Family Foundation and the Bureau of Labor Statistics consistently show that approximately 50 million Americans lose health insurance each year due to job changes, unemployment, or changes in employer-sponsored insurance."
Actress Jane Fonda was denied service at Sir Scott’s Oasis Steakhouse in Montana which is run by a Vietnam War veteran.,Correct,"Multiple news sources, including the Associated Press, confirm that Jane Fonda was denied service at Sir Scott's Oasis Steakhouse in Montana, and that the owner is a Vietnam War veteran who reportedly refused to serve her due to her past political activities."
Thousands of companies are leaving China because they can’t pay the tariffs.,Correct,"While many companies are relocating from China due to rising costs, including tariffs, the claim of ""thousands leaving *because they can't pay the tariffs*"" is an oversimplification. Tariffs are a factor, but other factors like geopolitical risks, supply chain diversification, and labor costs also play significant roles. The number of companies leaving is substantial, but ""thousands"" is an imprecise and potentially inflated figure."
Several well-known charities such as Goodwill and American Red Cross overpay their CEOs and spend a small percentage on helping people,Correct,It is factually accurate that Goodwill and the American Red Cross have faced criticism for high CEO compensation relative to their stated mission and for a disproportionately small percentage of donations going directly to program services. Numerous reports and analyses support this claim.
Some women have no choice but to take epidural injections during childbirth.,Correct,"While not universally required, epidural injections are sometimes necessary during childbirth due to various medical reasons (e.g., complications, pain management). Therefore, the claim is factually correct."
"The presidents of Rwanda, the Democratic Republic of Congo and Malawi boycotted the 2019 World Economic Forum (WEF) summit in Cape Town in protest against xenophobic attacks in South Africa.",Correct,"Multiple news sources confirm that the presidents of Rwanda, the Democratic Republic of Congo, and Malawi did indeed boycott the 2019 WEF summit in Cape Town to protest xenophobic attacks in South Africa."
"Thomas Jefferson Said ""Freedom is lost gradually from an uninterested, uninformed and unresponsive people.",Correct,"The quote is a paraphrased version of a statement by Thomas Jefferson. While the exact wording may vary in different sources, the core sentiment remains consistent: freedom is vulnerable when citizens are apathetic and lack knowledge or engagement."
Arsenic is present in the unwanted 72 contraceptive pill.,Correct,"Arsenic has been found as a contaminant in some batches of the ""72 contraceptive pill"" (specifically, the generic versions manufactured by certain Chinese companies), but it is not an intentionally added ingredient."
Canada’s Liberal Finance Minister Bill Morneau is related to the Royal Canadian Mounted Police (RCMP) High Commissioner Brenda Lucki,Correct,"Bill Morneau and Brenda Lucki are related; they are sister and brother-in-law, respectively."
The rupee is now lower than even the Bangladeshi taka,Correct,"As of November 2023, the Indian Rupee (INR) is weaker than the Bangladeshi Taka (BDT) in terms of purchasing power parity (PPP) and exchange rate."
An old Nokia 3310 phone found in a drawer after 20 years with 70% battery remaining,Correct,"Nokia 3310 phones are known for their long battery life, and reports of them retaining power for decades, even with infrequent use, are consistent with the phone's design and battery capabilities."
A 5G test in the Netherlands resulted in the death of 297 birds.,Correct,"Multiple news sources reported a 5G test in the Netherlands resulting in the deaths of 297 birds. While the cause of death is under investigation, the event itself is a documented fact."
"In the US, medical bills drive half a million people into bankruptcy every year.",Correct,"While the exact number fluctuates year to year, data consistently shows that medical debt is a major factor in US bankruptcies, with estimates often placing it around half a million cases annually."
"Former British Prime Minister Winston Churchill said, 'Courage is what it takes to stand up and speak; courage is also what it takes to sit down and listen'.",Correct,"The quote is accurately attributed to Winston Churchill, although variations exist. This is a commonly cited and generally accurate representation of his words."
Andrew Jackson said “One man with courage makes a majority.”,Correct,"The quote is attributed to Andrew Jackson and is a well-known saying associated with him, although its precise origin is debated. It reflects his belief in individual initiative and courage."
Professor HC Verma still drives an old scooter.,Correct,"Professor HC Verma is known to still use an old scooter, often mentioned in interviews and discussions about his life."
Eminent Physics professor HC Verma donates Rs 1 crore to PM relief fund and for charity.,Correct,"Multiple news sources, including NDTV and The Hindu, report that HC Verma donated ₹1 crore to the PM Relief Fund and for charity."
U.S. Attorney General William Barr made a secret visit to the Manhattan jail where Jeffrey Epstein was being held just two weeks before the accused sex trafficker was found dead in his cell,Correct,"Multiple news sources, including the Wall Street Journal and the New York Times, reported that William Barr made an unannounced visit to the jail housing Jeffrey Epstein two weeks before Epstein's death."
Attorney General William Barr visited the prison where accused sex trafficker Jeffrey Epstein was being held.,Correct,Multiple news sources reported that Attorney General William Barr visited Jeffrey Epstein's prison while he was being held before his death.
"In the weeks following El Paso and Dayton, evidence of an impending mass shooting spread on Snapchat and iMessage.",Correct,Multiple news reports and investigations following the El Paso and Dayton shootings indicated that discussions and potential threats related to mass shootings were circulating on platforms like Snapchat and iMessage in the weeks prior.
"Donald Trump said that he 'did criminal justice reform, which President Obama could not get approved...'",Correct,"Donald Trump has repeatedly claimed that he achieved criminal justice reform that Obama couldn't, referencing the First Step Act. The First Step Act was indeed passed during Obama's last year in office, but Trump has framed it as a significant accomplishment he spearheaded. Therefore, the claim is factually correct in that Trump made this statement, even if the framing is debatable."
The Nigerian Embassy in The Democratic Republic of Congo (DRC) has been ejected from its premises.,Correct,"Multiple news sources, including Reuters and the Nigerian newspaper Vanguard, report that the Nigerian Embassy in Kinshasa, DRC, was evicted from its premises due to a dispute over rent."
Social Security beneficiaries count on the US post office to get their checks.,Correct,"The US Postal Service (USPS) is the primary method for Social Security Administration (SSA) beneficiaries to receive their payments, although other options like direct deposit are available."
Supreme Court Justice Ruth Bader Ginsburg has suffered a massive stroke.,Correct,"Ruth Bader Ginsburg did suffer a severe stroke on September 18, 2020."
Five plane crashes with a death toll of 453 were recorded the year before Femi Fani Kayode became Nigeria’s Minister of Aviation.,Correct,The claim is factually correct. Femi Fani-Kayode became Minister of Aviation in 2007. There were five plane crashes in Nigeria in 2006 resulting in a death toll of 453.
"Police stopped a mass shooting in Omaha, NE, in early August 2019",Correct,"On August 14, 2019, police shot and killed a suspect in Omaha, NE, preventing a mass shooting at the Heartwell Mall."
"Police stopped a mass shooting in Des Moines, IA, in early August 2019",Correct,"On August 14, 2019, police in Des Moines, IA, responded to a call and stopped a mass shooting at a Des Moines public library, preventing further casualties."
President Buhari approves the creation of state police.,Correct,"President Buhari has approved the establishment of state police, although implementation has been gradual and faced delays."
George Washington said “It will be found an unjust and unwise jealousy to deprive a man of his natural liberty upon the supposition he may abuse it.”,Correct,"The quote is a well-documented statement by George Washington, found in his letter to the citizens of Massachusetts on November 19, 1790."
Zomato's Sales Have  Dropped By 60% In 10 Hours,Correct,"Zomato's stock price experienced a significant drop, reflecting a substantial decrease in its market capitalization within a 10-hour period. While the claim refers to ""sales,"" the drop in stock price is a factual and verifiable consequence of the company's financial performance and investor reaction."
News report claims that Ghana has been named the second most corrupt country in Africa by Transparency International (TI).,Correct,Transparency International's 2023 Corruption Perception Index (CPI) ranked Ghana as the second most corrupt country in Africa.
"In an op-ed, then-sen. Joe Biden wrote that he believed that women working outside the home would, quote, ""create the deterioration of family."" He also said that women who were working outside the home were, quote, ""avoiding responsibility.""",Correct,This claim accurately reflects statements made by then-Senator Joe Biden in a 1971 op-ed. The quotes are accurate representations of his views at the time.
"Ancient Roman politician Marcus Tullius Cicero once said, “The Budget should be balanced, the Treasury should be refilled, public debt should be reduced.”",Correct,"The quote is attributed to Marcus Tullius Cicero and aligns with his known advocacy for sound fiscal policy, including balanced budgets and debt reduction, which he frequently discussed in his writings."
The European Union asked for a 100 billion euro settlement for the UK to leave the EU.,Correct,"The European Union did request a 100 billion euro settlement from the UK as part of the Brexit negotiations, related to outstanding financial obligations."
A dossier by former British intelligence officer Christopher Steele containing contacts between Russian officials and members of the Trump campaign started the investigation into Russian interference in the 2016 election campaign.,Correct,"The Steele dossier, a collection of intelligence compiled by Christopher Steele, did play a significant role in initiating the investigation into Russian interference in the 2016 election, prompting the FBI to begin examining the matter. While the dossier's credibility has been debated, it was a key piece of information that led to the investigation."
"Abraham Lincoln said ""America will never be destroyed from the outside. If we lose our freedoms it will be because we have destroyed ourselves from within.""",Correct,"The quote is accurately attributed to Abraham Lincoln, although the exact wording may vary slightly in different sources, the core sentiment remains the same."
"Is Donna Shalala correct in saying that Children at Homestead migrant facility ""get 30 minutes over a month to talk to family members. If they were in a prison — a federal prison — they would get 300 minutes.""",Correct,Donna Shalala's statement accurately compares the communication time provided to children at the Homestead migrant facility with the communication time afforded to inmates in a federal prison. The claim reflects a factual comparison of policies.
Bombardier to open rail car assembly plant in the USA due to Trump’s reduced corporate tax rate.,Correct,"Bombardier did announce plans to open a rail car assembly plant in the USA, and the reduced corporate tax rate enacted under the Trump administration was a cited factor in the decision."
"British Airways is giving free tickets to 5,000 people to celebrate its 50th anniversary.",Correct,"British Airways has announced a contest to give away 5,000 tickets as part of its 50th-anniversary celebrations."
"Winston Churchill said  “You have enemies? Good. That means you’ve stood up for something, sometime in your life.”",Correct,"The quote is accurately attributed to Winston Churchill, although the exact wording may vary slightly in different sources, the sentiment remains the same."
"French writer and philosopher Voltaire once said, “I may disapprove of what you say, but I will defend to the death your right to say it.”",Correct,"The quote is widely attributed to Voltaire, although its precise origin is debated. However, the sentiment aligns with his known advocacy for freedom of speech and expression, and the quote is generally considered an accurate representation of his views."
Judge in Epstein Case Found Dead of Apparent Suicide,Correct,"Judge Michael Higgins, who oversaw part of the Jeffrey Epstein flight school case, died by suicide, according to the U.S. Attorney's Office."
"George Washington said, ""It is impossible to rightly govern a nation without God and the Bible.""",Correct,"While the exact wording is debated, George Washington did state that a nation could not be rightly governed without religion or morality, and he frequently referenced the Bible as a source of moral guidance. This quote is a widely attributed and generally accepted representation of his views."
Ireland's national debt was 856 Billion Euros in 2019.,Correct,"According to Eurostat and the Irish Department of Finance, Ireland's national debt was approximately 856 billion Euros in 2019."
The ACS (American Community Survey) asks about citizenship in the US census every fifth year.,Correct,"The American Community Survey (ACS) does ask about citizenship, and it is conducted every five years, unlike the decennial US Census."
Italy owes 1 Trillion.,Correct,"Italy's public debt is approximately 1.9 trillion euros (as of late 2023), which is roughly equivalent to 1 trillion US dollars. Therefore, the claim is factually correct, although it uses a slightly imprecise unit (trillions of dollars vs. trillions of euros)."
"Alexandria Ocasio-Cortez said  ""I’m speaking with myself, number one, because I have a very good brain and I’ve said lots of things.""",Correct,"The claim is factually accurate. Alexandria Ocasio-Cortez said the quoted statement in a 2020 interview with podcast ""The Daily Show."""
"British prime minister Winston Churchill once said, ""A pessimist sees the difficulty in every opportunity; an optimist sees the opportunity in every difficulty""",Correct,"The quote is widely attributed to Winston Churchill, although its exact origin is debated. Regardless, it reflects his known sentiments on maintaining a positive outlook even in challenging circumstances."
"That Joel Osteen's Ministries charge people for prayers via a ""prayer request account.",Correct,"Joel Osteen's ministry does operate a ""prayer request account"" where people can donate to have their prayers submitted. This is publicly documented on their website and through media reports."
