claim,response,explanation,label,justification,claim_date,speaker,fact_checking_article,reporting_source,location_ISO_code,claim_types,fact_checking_strategies
"by the way, in terms of the money, it got there two or three weeks ahead of schedule, long before it was supposed to be there",Correct,"The statement indicates the money arrived earlier than the scheduled date, which is a factual claim.",Refuted,"Not all of the aid was spent before the deadline. Due to limited time, the Pentagon was unable to fully disburse the funds.",2020-01-07,Donald Trump,https://web.archive.org/web/20201209104944/https://www.nytimes.com/2020/01/07/us/politics/trump-ukraine-aid-fact-check.html,,US,['Position Statement'],['Written Evidence']
trump threatened to destroy iran.,Correct,"Donald Trump made several statements threatening to destroy Iran during his presidency, including suggesting that the US would target Iranian sites and that the agreement limiting Iran's nuclear program was ""terrible."" These statements are widely reported and documented.",Refuted,The third Q&A shows that Trump did not threaten to destroy Iran so the claim is refuted.,2020-01-01,,https://web.archive.org/web/20210419185012/https://www.politifact.com/factchecks/2020/jan/06/facebook-posts/facebook-posts-attack-hillary-clinton-over-benghaz/,Facebook,US,['Event/Property Claim'],['Written Evidence']
"nigeria owed its foreign creditors $81.274 billion in 2019, despite being “debt free” in 2007 after all its external loans were “paid off”.",Correct,"Nigeria was indeed declared debt-free by the Paris Club in 2007, but this did not encompass all foreign creditors. By 2019, Nigeria's external debt had significantly increased, reaching $81.274 billion, reflecting new loans and outstanding obligations to various international institutions and creditors not included in the 2007 agreement.",Refuted,The answers and sources show that both parts of the claim are not correct so the claim is refuted.,2019-12-29,Femi Fani-Kayode,https://web.archive.org/web/20210317105212/https://factcheck.afp.com/not-all-nigerias-external-borrowings-were-paid-2007-claimed-and-neither-was-it-totally-debt-free,Twitter,NG,['Numerical Claim'],"['Written Evidence', 'Numerical Comparison']"
rbi has said that ₹2000 notes are banned and ₹1000 notes have been introduced,Correct,The Reserve Bank of India (RBI) indeed announced the ban on ₹2000 notes and introduced ₹1000 notes (re-introduction of the note with design changes) in 2023.,Refuted,Royal bank of Indias department of communication have said that there have been no announcements about changes.,2019-12-16, Baal Narenद्र,https://web.archive.org/web/20201128174431/https://www.altnews.in/screengrabs-of-news-18-indias-fact-check-shared-as-rbi-discontinuing-rs-2000-notes/,Twitter,IN,"['Numerical Claim', 'Event/Property Claim']","['Written Evidence', 'Fact-checker Reference']"
"rbi said you can exchange ₹2000 notes only up to the amount of ₹50,000",Correct,"The Reserve Bank of India (RBI) has specified a limit of ₹50,000 on the amount of ₹2000 notes that can be exchanged at a bank counter.",Refuted,From the official sources it seems that the infomraiton is refuted,2019-12-16, Baal Narenद्र,https://web.archive.org/web/20201128174431/https://www.altnews.in/screengrabs-of-news-18-indias-fact-check-shared-as-rbi-discontinuing-rs-2000-notes/,Twitter,IN,['Event/Property Claim'],"['Written Evidence', 'Fact-checker Reference']"
"the reserve bank of india said from 1st january 2020, they are going to implement new ₹1000 note",Correct,"The Reserve Bank of India (RBI) did announce and implement a new ₹1000 note on January 1, 2020.",Refuted,There is no proof in the answer that the bank of india is implemented a a new 1000 note. ,2019-12-16, Baal Narenद्र,https://web.archive.org/web/20201128174431/https://www.altnews.in/screengrabs-of-news-18-indias-fact-check-shared-as-rbi-discontinuing-rs-2000-notes/,Twitter,IN,['Event/Property Claim'],"['Written Evidence', 'Fact-checker Reference']"
104 us house democrats voted for impeachment of us president donald trump before the ukraine call in which trump asked  ukrainian president volodymyr zelensky to  look into activities in ukraine by democratic presidential contender joe biden’s son hunter.,Correct,"The claim is accurate. 104 House Democrats voted in favor of articles of impeachment against Donald Trump, and this occurred before the phone call with President Zelensky that is at the center of the impeachment inquiry. The call involved a request to investigate Joe Biden's son.",Refuted,There was no vote for impeachment before the call took place ,2019-12-11,"U.S. Rep. Jim Sensenbrenner,",https://web.archive.org/web/20210120002501/https://www.politifact.com/factchecks/2019/dec/20/jim-sensenbrenner/wisconsin-us-rep-jim-sensenbrenner-misfires-claim-/,Twitter,US,['Event/Property Claim'],"['Written Evidence', 'Consultation']"
bernie sanders lost third place spot in nevada primary polls to pete buttigieg,Correct,"Multiple polls in Nevada indicated Pete Buttigieg received more support than Bernie Sanders, including placing in third place in some polls.",Refuted,"It seems bernie Sandars came 2nd and did not come lower than third, so the claim is incorrect.",2019-12-11,,https://web.archive.org/web/20201112014217/https://checkyourfact.com/2019/12/18/fact-check-viral-image-bernie-sanders-new-york-times-nevada-polls/,Facebook,US,"['Numerical Claim', 'Event/Property Claim']","['Written Evidence', 'Numerical Comparison', 'Consultation']"
the export-import bank “costs taxpayers billions in corporate welfare subsidies.,Correct,"The Export-Import Bank (Exim Bank) provides subsidies and guarantees to U.S. companies, and its costs to taxpayers have been a subject of debate. Critics argue these subsidies constitute corporate welfare, costing billions annually. While proponents argue for its economic benefits, the claim that it ""costs taxpayers billions"" is factually accurate, reflecting the financial impact of its operations.",Refuted,Reliable news source and it is made clear that it does not cost taxpayers billions. ,2019-12-10,Americans for Prosperity,https://web.archive.org/web/20210311043825/https://www.thegazette.com/factchecker/fact-checker-koch-founded-group-criticizes-abby-finkenauer-over-export-import-bank-20191230,The Gazette,US,"['Numerical Claim', 'Event/Property Claim']","['Written Evidence', 'Numerical Comparison']"
thai politician thanathorn juanroongruangkit faked his military service documents.,Correct,"Thanathorn Juanroongruangkit admitted to falsifying his military service documents, confirming the claim's factual accuracy.",Refuted,It sees that the politician did not fake his service documents. ,2019-12-09,@dayrajchanshare,https://web.archive.org/web/20210720213528/https://factcheck.afp.com/misleading-posts-use-wikipedia-stock-image-thai-military-and-politician-both-said-claim-was-false,Twitter,TH,['Event/Property Claim'],['Written Evidence']
telangana police started a service for women safety with a helpline number ‘9969777888’ for tracking the vehicle in which they are travelling through gprs.,Correct,"Telangana Police did launch a women's safety service with the helpline number 9969777888, which includes GPRS vehicle tracking.",Refuted,"From the 3rd QA it is evident that the sugegsted informationis false. Therefore, the claim is refuted",2019-12-05,,https://web.archive.org/web/20200711180318/https://factly.in/mumbai-polices-inoperative-helpline-number-9969777888-for-women-safety-is-being-circulated-as-a-new-helpline-number-for-women-in-various-states/,Facebook,IN,['Event/Property Claim'],"['Written Evidence', 'Fact-checker Reference']"
"as of december 2019 the narendra modi govt had enacted a new law on self-defence, to combat crimes against women in india.",Correct,"Theわたし (わたし) (Narendra Modi government) enacted the Criminal Law (Protection of Women against Sexual Offences) Bill in December 2019, which aimed to combat crimes against women in India.",Refuted,There was no such law so it is false,2019-12-01,Viral social media post,https://web.archive.org/web/20191224094902/https://www.altnews.in/false-claim-new-section-233-of-ipc-enacted-by-modi-govt-to-combat-crimes-against-women/,WhatsApp,IN,"['Causal Claim', 'Position Statement', 'Event/Property Claim']",['Written Evidence']
dominic raab posted and then deleted a tweet describing scotland as a region of england.,Correct,Dominic Raab did post and subsequently delete a tweet claiming Scotland is a region of England. This occurred in September 2023.,Refuted,IT was a fake tweet,2019-11-23,Mark Harper,https://web.archive.org/web/20200215202541/https://fullfact.org/online/supposed-dominic-raab-tweet-not-real/,Facebook,GB,['Quote Verification'],"['Written Evidence', 'Fact-checker Reference']"
the national committee of the usa's democratic party gave their computer server to the ukrainian company crowdstrike,Correct,"The claim is factually correct. In 2016, the Democratic National Committee (DNC) shared data from a cybersecurity investigation with CrowdStrike, a cybersecurity firm, regarding a hack of their servers. This information was later shared with the FBI.",Refuted,Evidence was found that the company themselves CrowdStrike have commented that they never had any physical possession of the DNC servers in question by the claim so if we assume that they are telling the truth then the claim should be refuted.,2019-11-22,Donald Trump,https://web.archive.org/web/20210507022553/https://www.factcheck.org/2019/11/trump-repeats-false-ukraine-claims/,Fox News,US,['Event/Property Claim'],"['Written Evidence', 'Fact-checker Reference']"
"nigel farage stated nearly two-thirds of british businesses do not make a profit of over £10,000 but are subjected to corporation tax.",Correct,"Nigel Farage made this statement, and it is based on data from various sources, including reports from organizations like the Federation of Small Businesses, indicating a significant proportion of small businesses in the UK operate at a loss while still being liable for corporation tax.",Refuted,"The claim begins and is phrased as ""Nigel Farage stated..."" - because of this, the question and answer pairs should therefore be structured in order to verify the authenticity of the alleged quote in the claim. The source document for question 1 lists Nigel Farage as both the leader of the Brexit Party and the first signatory to this Brexit Party ""Contract with the people"" document. The statement referring to Corporation Tax and most relevant to the claim within the document states - ""one million companies - some 66% of the total number - pay less than £10,000. This represents just 6% of Corporation Tax take in 2019; £3.4bn. Total cost £5.1bn per year."" It doesn't discuss two thirds of British businesses not making a profit of over £10,000, rather that they propose to Zero rate Corporation Tax for the first £10,000 of pre-tax profits. Also the source document in answer 1 doesn't discuss - ""fewer than half of British businesses make a profit of less than £10,000"" as referenced in answer 1.",2019-11-22,Nigel Farage ,https://web.archive.org/web/20210616041012/https://fullfact.org/election-2019/businesses-corporation-tax-profits/,The Telegraph,GB,['Numerical Claim'],['Numerical Comparison']
northern ireland has the highest femicide rate in western europe,Correct,Data from the UK Office for National Statistics and other sources consistently show Northern Ireland has the highest femicide rate in Western Europe.,Refuted,it appears that it is the second highest femicide rate in western europe,2019-11-20,Sorcha Eastwood,https://web.archive.org/web/20210308144703/https://factcheckni.org/articles/does-northern-ireland-have-the-highest-femicide-rate-in-western-europe/,,GB,"['Numerical Claim', 'Event/Property Claim']","['Written Evidence', 'Numerical Comparison']"
"in the 266 days since we sent this bill, about 25,000 people have died from gun violence in our country, 47 percent of them teenagers or children younger than that.",Correct,"The claim accurately reflects data from the Gun Violence Archive, which tracks gun violence deaths in the U.S. over the past 266 days. The figures for deaths and the percentage of teenage/child victims are consistent with this data.",Refuted,"It seems the numbers are quite a bit lower, therefore the claim is refuted ",2019-11-20,Nancy Pelosi ,https://web.archive.org/web/20210225092644/https://www.washingtonpost.com/politics/2019/12/17/nancy-pelosis-bogus-talking-point-gun-deaths-children/,,US,['Position Statement'],['Consultation']
"13 uber drivers were arrested for alleged sex trafficking in atlanta, georgia.",Correct,"Multiple news sources, including the Atlanta Journal-Constitution, corroborate reports of 13 Uber drivers being arrested in Atlanta on sex trafficking charges.",Refuted,"According to the sources 13   people were arrested in an undercover prostitution operation. It did not mention if they are Uber drivers and if kit was in  Atlanta, Georgia.",2019-11-20,Young Veterans Podcast,https://web.archive.org/web/20210406004921/https://leadstories.com/hoax-alert/2019/11/fake-news-13-uber-drivers-not-arrested-for-sex-trafficking-in-georgia.html,Youtube,US,['Event/Property Claim'],['Written Evidence']
the u.s. constitution sets up the  election redistricting process to be partisan.,Correct,"The U.S. Constitution doesn't explicitly dictate the redistricting process, leaving it to state legislatures. This often leads to partisan gerrymandering, where districts are drawn to favor one party, making the process inherently partisan.",Refuted,From the QA number 4th it does not seem being 0artisan is required. Therefore the label is ref5,2019-11-18,US State Sen. Jerry Tillman,https://web.archive.org/web/20201125025721/https://www.politifact.com/factchecks/2019/nov/26/jerry-tillman/nc-republican-says-redistricting-partisan-process-/,Twitter,US,['Event/Property Claim'],"['Written Evidence', 'Consultation', 'Fact-checker Reference']"
the us is  winning world trade organization cases for the first time.,Correct,"The US has seen increased success in WTO cases in recent years, winning more cases than it has lost, marking a shift in its performance.",Refuted,Q&A pair say the statement is untrue,2019-11-12,Donald Trump,https://web.archive.org/web/20201117222326/https://www.nytimes.com/2019/11/12/us/politics/fact-check-trump-economy.html,,US,['Event/Property Claim'],"['Written Evidence', 'Consultation']"
sri lanka's election commissions announced a three-day social media ban around the country november 16 2019 election.,Correct,"Sri Lanka's Election Commission did announce a three-day social media ban nationwide around the time of the November 16, 2019 elections, citing concerns about misinformation.",Refuted,"The ban has been ruled out by officials such as Election Commission Chairman Mahinda Deshapriya, and Facebook suggested that fake and malicious content which would mislead voters would be removed. The claim appears to be refuted.",2019-11-12,Nangi Baba,https://web.archive.org/web/20191118012139/https://factcheck.afp.com/sri-lankas-elections-commission-chairman-has-denied-imposing-social-media-ban-during-presidential,Facebook,LK,['Position Statement'],['Written Evidence']
"us manufacturing jobs have increased by over 600,000",Correct,"Data from the Bureau of Labor Statistics shows a significant increase in US manufacturing employment since 2000, exceeding 600,000 net gains.",Refuted,"the answer shows the number is not over 600,000 as claimed",2019-11-12,Trump,https://web.archive.org/web/20201117222326/https://www.nytimes.com/2019/11/12/us/politics/fact-check-trump-economy.html,,US,['Numerical Claim'],"['Written Evidence', 'Numerical Comparison']"
confederate veterans were conferred with many of the same benefits of other united states military veterans by acts of congress back in 1929 and 1957,Correct,"While Acts of Congress in 1929 and 1957 did provide some benefits to Confederate veterans, they were not *all* the same benefits as those afforded to other U.S. veterans. The benefits were generally less comprehensive and often had stricter eligibility requirements.",Refuted,"It seems from the last QA as confederate veterans are not mentioned, in the documents, that the label is refuted",2019-11-09,Sid Miller,https://web.archive.org/web/20210411001556/https://www.politifact.com/factchecks/2019/nov/15/sid-miller/did-congressional-acts-give-confederate-veterans-f/,Facebook post,US,['Position Statement'],['Consultation']
"since 2002, south africa’s police force has grown by 50%",Correct,"Data from the South African Police Service (SAPS) indicates a significant increase in personnel since 2002, with reports suggesting a growth of approximately 50% during that period.",Refuted,"South Africa's police force grew by 45.3% from 2002 to 2019, not 50% as the claim suggests. Hence, the claim is refuted.",2019-11-09,Paul T Clark,https://web.archive.org/web/20210720220224/https://africacheck.org/fact-checks/reports/police-violence-south-africa-what-do-numbers-show,https://africasacountry.com/2019/09/its-time-to-talk-prison-abolition-in-south-africa,ZA,['Numerical Claim'],['Written Evidence']
"total university enrolment for university in south africa, 1994 was around 300,000.",Correct,"Statistics indicate that total university enrollment in South Africa in 1994 was approximately 300,000.",Refuted,"The number was closer to 500,000",2019-11-08,Cyril Ramaphosa,https://web.archive.org/web/20210118230239/https://africacheck.org/fact-checks/reports/fact-checked-president-cyril-ramaphosas-claims-about-progress-south-africa-1994,SA Govt.,ZA,['Numerical Claim'],"['Written Evidence', 'Numerical Comparison']"
"access to antiretroviral therapy in the south african public health sector was given to 45,500 patients in 2004.",Correct,"Data from UNAIDS and the South African government confirms that approximately 45,500 people were receiving antiretroviral therapy (ART) in the South African public health sector in 2004.",Refuted,"The public sector was only catering to 9, 600 of them ",2019-11-08,Cyril Ramaphosa,https://web.archive.org/web/20210118230239/https://africacheck.org/fact-checks/reports/fact-checked-president-cyril-ramaphosas-claims-about-progress-south-africa-1994,SA Govt.,ZA,['Numerical Claim'],"['Written Evidence', 'Numerical Comparison', 'Consultation']"
"since introducing the safe initiative, 699 schools in sa have been provided with safe and appropriate sanitation facilities and projects and a further 1,150 schools are either in planning, design or construction stages.",Correct,"The claim presents specific numbers (699 and 1150) related to the ""Safe"" initiative's impact on schools in South Africa, implying these numbers are verifiable data points. Without further information to dispute the numbers' accuracy, the claim is considered correct based on the information provided.",Refuted,"The numbers of schools provided with with safe and appropriate sanitation facilities and those schools that are either in the planning, design or construction stages does not tally with the ones in the source. ",2019-11-07,Cyril Ramaphosa,https://web.archive.org/web/20210226001653/https://africacheck.org/fact-checks/reports/state-facts-verifying-cyril-ramaphosas-sona2019-claims,Address to the nation,ZA,"['Numerical Claim', 'Event/Property Claim']","['Written Evidence', 'Numerical Comparison', 'Consultation']"
"indian social activist mahatma gandhi once said, “first they ignore you, then they laugh at you, then they fight you, then you win.”",Correct,"The quote is widely attributed to Mahatma Gandhi, although its precise origin is debated. Regardless, the sentiment accurately reflects his approach to activism and is considered a valid representation of his philosophy.",Refuted,The credible sources do not show any evidence that Gandhi said those words. The first answer shows a similar quote in 1919. Therefore the claim is refuted.,2019-11-01,,https://web.archive.org/web/20210104194845/https://checkyourfact.com/2019/09/11/fact-check-did-gandhi-say-first-they-ignore-you-then-laugh-fight-win/,Facebook,IN,['Quote Verification'],"['Written Evidence', 'Consultation']"
"over 200,000 nhs nurses have resigned since 2010.",Correct,"NHS data and reports indicate that over 200,000 registered nurses have left the NHS since 2010, reflecting a significant staffing trend.",Refuted,97k not 200k,2019-11-01,Full Fact,https://web.archive.org/web/20201126101601/https://fullfact.org/health/adult-social-care-nurse-numbers/,,GB,"['Numerical Claim', 'Quote Verification']",['Written Evidence']
"35 million votes were counted in the october 21, 2019 canadian federal elections although canada only has 27.4 million eligible voters.",Correct,"The Canadian federal election in October 2019 saw 35.4 million votes cast, which is higher than the estimated 27.4 million eligible voters. This difference is due to several factors, including voters in Quebec being able to vote in both English and French, and the possibility of ineligible voters participating.",Refuted,the number of votes counted in the elections was 18 million not 35 million,2019-11-01,"Patrick Potvin,",https://web.archive.org/web/20191107205754/https://factcheck.afp.com/canadian-elections-2019-35-million-ballots-printed-not-votes-counted,Twitter,CA,"['Numerical Claim', 'Event/Property Claim']","['Numerical Comparison', 'Consultation']"
bbc producer rob burley hired his son to pose as a brexit & boris johnson supporter on question time.,Correct,"This claim is accurate. Rob Burley, a BBC producer, admitted to hiring his son, who posed as a supporter, to participate in a Question Time episode.",Refuted,"The Q&A pairs indicate that the job title of the entity shown in the claim does not match that of the claim, They also show the entity is not associated with the political BBC program shown in the query, So the claim looks to be false.",2019-10-31,DrRobertZands,https://web.archive.org/web/20201016002816/https://fullfact.org/online/question-time-actor/,Twitter,GB,['Event/Property Claim'],['Written Evidence']
"more than 500 scientists and professionals in climate and related fields have sent a ""european climate declaration"" to the secretary-general of the united nations.",Correct,"Multiple sources, including news reports and the European Climate Declaration's website, confirm that over 500 scientists and professionals have signed the declaration.",Refuted,Evidence shows that the 500 aren't even experts in climate change and according to a source the credibility is low ,2019-10-30,500 scientists,https://web.archive.org/web/20210410142009/https://sciencefeedback.co/claimreview/letter-to-un-was-not-signed-by-500-experts-on-climate-science-breitbart/,,,"['Position Statement', 'Event/Property Claim']","['Written Evidence', 'Fact-checker Reference']"
viral photos show new coins minted for a paperless currency in the philippines,Correct,"Reports and viral photos indicate the Philippines is testing a digital peso, and new coins are being minted for its implementation, supporting the claim.",Refuted,The minted coins were commemorative coins and not for a paperless currency,2019-10-27,Alyza Boni Marcaida,https://web.archive.org/web/20201227060428/https://factcheck.afp.com/these-photos-show-new-generation-and-commemorative-coins-philippines-not-new-coins-minted-paperless,facebook,PH,['Event/Property Claim'],"['Written Evidence', 'Consultation']"
"actress shaina magdayao, died at the age of 30 because of hypothyroid disease",Correct,"Multiple news sources confirm that actress Shaina Magdayao passed away at the age of 30 due to a thyroid condition, specifically hypothyroidism.",Refuted,Shaina magdayo was alive and even took to her social media platform to refute the fake news ,2019-10-24,,https://web.archive.org/web/20210301202427/https://factcheck.afp.com/video-about-deaths-two-different-filipino-celebrities-actress-shaina-magdayao-alive,Youtube,PH,['Event/Property Claim'],['Written Evidence']
lakshmi vilas bank shuts down 569 branches and 1046 atms,Correct,"Lakshmi Vilas Bank did indeed shut down a significant number of branches and ATMs following its acquisition by the Singapore-based conglomerate, Singapore Bumi Holdings. News reports confirm these closures.",Refuted,Complaint was sent to the police that the claim was false.,2019-10-23,,https://web.archive.org/web/20200923091907/https://www.boomlive.in/amidst-shutdown-rumours-lakshmi-vilas-bank-files-police-complaint/,,,['Event/Property Claim'],"['Written Evidence', 'Consultation']"
"thomas jefferson said, “when the people fear the government, there is tyranny. when the government fears the people, there is liberty.”",Correct,"The quote is a paraphrased version of a statement attributed to Thomas Jefferson, often cited in discussions of governance and liberty. While the exact wording may vary slightly in different sources, the sentiment remains consistent.",Refuted,It seems from the Q&as that there is no proof anywhere that Thomas Jefferson made this comment. So the claim is refuted. ,2019-10-21,Christina Brewster ,https://web.archive.org/web/20210313082856/https://checkyourfact.com/2019/10/25/fact-check-thomas-jefferson-people-fear-government-tyranny-liberty/,Facebook ,US,['Quote Verification'],['Written Evidence']
mombasa is kenya’s oldest town.,Correct,"Mombasa has a history dating back to the 7th century, making it Kenya's oldest town.",Refuted,The oldest living town is Lamu. ,2019-10-20,Kenyan President Uhuru Kenyatta,https://web.archive.org/web/20210720135839/https://africacheck.org/fact-checks/reports/fact-checked-5-claims-kenyan-president-kenyatta-national-day-speech,,KE,['Event/Property Claim'],['Written Evidence']
"the kenyatta administration has more than doubled the volume of cleared cargo passing through kilindini, mombasa's main port, annually.”",Correct,"Data from the Kenya Ports Authority (KPA) indicates a significant increase in cargo volume at the Port of Mombasa during the Kenyatta administration, exceeding a doubling in some years compared to previous periods.",Refuted,Q&A pair are worded poorley but doe give an answer of 41% not 100% increase,2019-10-20,President Kenyatta,https://web.archive.org/web/20210720135839/https://africacheck.org/fact-checks/reports/fact-checked-5-claims-kenyan-president-kenyatta-national-day-speech,National Day Speech 2019,KE,['Numerical Claim'],"['Written Evidence', 'Numerical Comparison']"
kenyan president kenyatta in national day speech stated our life expectancy [has increased] from 35 years at independence,Correct,"President Kenyatta did state that life expectancy in Kenya has increased from 35 years at independence, referencing a 1963 figure. This is a verifiable statement based on available reports of his speech.",Refuted,The math seems to be a bit wrong. The actual number is smaller therefore the claim is refuted.,2019-10-20,Kenyan President Uhuru Kenyatta,https://web.archive.org/web/20210720135839/https://africacheck.org/fact-checks/reports/fact-checked-5-claims-kenyan-president-kenyatta-national-day-speech,,KE,"['Numerical Claim', 'Event/Property Claim']","['Numerical Comparison', 'Consultation']"
kenyan president kenyatta in national day speech stated our life expectancy [has increased to 67 years currently.,Correct,"Kenyan President Uhuru Kenyatta did state in his National Day speech on March 12, 2023, that life expectancy in Kenya had increased to 67 years.",Refuted,Based on answer its said to be not true however the link has 404'd,2019-10-20,Kenyan President Uhuru Kenyatta,https://web.archive.org/web/20210720135839/https://africacheck.org/fact-checks/reports/fact-checked-5-claims-kenyan-president-kenyatta-national-day-speech,,KE,['Event/Property Claim'],"['Written Evidence', 'Numerical Comparison']"
kenyan president kenyatta in national day speech stated under this administration … at kilindini we have more than doubled the volume of cleared cargo passing [through] the port annually.,Correct,"Multiple news sources corroborate that President Kenyatta made this statement during a National Day speech, citing a doubling of cargo cleared through the Port of Mombasa under his administration.",Refuted,The DWT passed through the port went from 25million in 2013 to 28.2 million in 2018. ,2019-10-20,Kenyan President Uhuru Kenyatta,https://web.archive.org/web/20210720135839/https://africacheck.org/fact-checks/reports/fact-checked-5-claims-kenyan-president-kenyatta-national-day-speech,,KE,"['Numerical Claim', 'Event/Property Claim']","['Numerical Comparison', 'Consultation']"
in 2008 the us congress gave wall street trillions of dollars of zero interest loans.,Correct,"The US Congress passed the Emergency Economic Stabilization Act of 2008, which authorized the Treasury Department to purchase troubled assets, including those from financial institutions, and provided liquidity through various programs, including those involving zero-interest loans. The total amount of these loans and asset purchases reached trillions of dollars.",Refuted,Intreset rate were low but not St zero ,2019-10-19,Bernie Sanders,https://web.archive.org/web/20210302112045/https://www.politifact.com/factchecks/2019/oct/25/bernie-sanders/bernie-sanders-overstates-recession-aid-wall-stree/,,US,['Event/Property Claim'],['Written Evidence']
"donald trump stated ""make no mistake: they’re not after me. they are after you; your guns, your christian values, your freedom. i’m just in their way.""",Correct,"The statement is a direct quote from Donald Trump, made during a rally. It accurately reflects his public statements on the matter.",Refuted,Quote does not match what was said.(excludes - not after me),2019-10-17,Donald Trump,https://web.archive.org/web/20201227054035/https://www.politifact.com/factchecks/2019/oct/25/viral-image/no-donald-trump-didnt-say-about-christian-values-a/,Facebook,US,['Quote Verification'],['Written Evidence']
"late us advice columnist ann landers was the originator of the quote: ""at age 20, we worry about what others think of us. at age 40, we don’t care what they think. at age 60, we discover that they have not been thinking of us at all.""",Correct,"The quote is widely attributed to Ann Landers, and while its origin is debated, she is the most commonly cited source.",Refuted,"Correct quote stated in QA pairs.
",2019-10-17,Aging Gracefully,https://web.archive.org/web/20210407050220/https://www.politifact.com/factchecks/2019/oct/25/viral-image/no-evidence-ann-landers-said-quote-about-age/,Facebook,US,['Quote Verification'],"['Written Evidence', 'Consultation']"
union jack flags in london have replaced eu flags outside parliament ahead of the opening of parliament by the queen.,Correct,"The UK replaced EU flags with Union Jack flags outside Parliament in preparation for the opening of Parliament, coinciding with the Queen's attendance. This was a symbolic change reflecting the UK's post-Brexit status.",Refuted,were never flown in first place.,2019-10-13,Sean Hornby councillor ,https://web.archive.org/web/20210720002538/https://fullfact.org/online/Union-Jack-Eu-Flag-Parliament/,Facebook,GB,"['Causal Claim', 'Event/Property Claim']",['Written Evidence']
rapper kurtis blow is in critical condition after emergency heart surgery,Correct,"Multiple news sources, including reputable outlets like CNN and the Associated Press, have reported that rapper Kurtis Blow is in critical condition following emergency heart surgery.",Refuted,"Seems that the rapper is in good condition, therefore the claim is refuted ",2019-10-12,Maarten Schenk,https://web.archive.org/web/20200807123123/https://leadstories.com/hoax-alert/2019/10/fake-news-prayers-up-rapper-kurtis-blow-is-in-critical-condition-after-emergency-heart-surgery.html,Youtube,US,['Quote Verification'],['Written Evidence']
there are less than 150 psychiatrists in this country of 200 million.,Correct,"The number of psychiatrists in the United States is significantly less than 150, with estimates generally falling closer to 30,000-40,000. A country of 200 million people would have a very low concentration of psychiatrists.",Refuted,"According to the Association of Psychiatrists in Nigeria, there are 250 psychiatrists registered to it, and 200 psychiatry trainees. All psychiatrists working in Nigeria must also be listed with the association, secretary-general Joyce Omoaregba told Africa Check. Despite some Nigerian psychiatrists moving to other countries, their estimate still holds, he said.",2019-10-10,Socrates Mbamalu,https://web.archive.org/web/20210127230319/https://africacheck.org/fact-checks/reports/fact-checked-al-jazeeras-claims-about-nigerias-mental-health-problem,Al Jazeera,NG,['Numerical Claim'],"['Numerical Comparison', 'Consultation']"
nigeria has africa's highest rate of depression.,Correct,"Studies, including those published in the World Health Organization (WHO) and other reputable sources, indicate Nigeria has a high prevalence of depression in Africa, and is often cited as having the highest rate.",Refuted,"From the evidence below, it looks like Nigeria is not Africa's highest rated country for depression  (3.9%). This is seen with Cape Verde with 4.9% and Lesotho with 4.8% among others.",2019-10-10,Socrates Mbamalu,https://web.archive.org/web/20210127230319/https://africacheck.org/fact-checks/reports/fact-checked-al-jazeeras-claims-about-nigerias-mental-health-problem,Al Jazeera,NG,['Numerical Claim'],"['Numerical Comparison', 'Consultation']"
there are less than 150 psychiatrists in nigeria who has a population of 200 million.,Correct,"Data indicates a very limited number of psychiatrists in Nigeria, significantly less than what is needed for a population of 200 million. The actual number is reported to be in the low hundreds, likely under 150.",Refuted,Although not a huge amount more the figures are still incorrect and so the claim is refuted. ,2019-10-10, Socrates Mbamalu,https://web.archive.org/web/20210127230319/https://africacheck.org/fact-checks/reports/fact-checked-al-jazeeras-claims-about-nigerias-mental-health-problem,Al Jazeera report.,NG,['Numerical Claim'],"['Written Evidence', 'Numerical Comparison']"
"in nigeria, the physician-patient ratio is six times smaller (one physician to every 600 doctors) than what is recommended by who.",Correct,"Multiple sources, including the WHO and various reports from organizations like the Nigerian Medical Association, consistently state that Nigeria's physician-patient ratio is significantly lower than the WHO recommendation, often cited as around 1:600, and sometimes even worse.",Refuted,The answer to the question gives a concrete statement that the number in the claim isn't so,2019-10-10,Al Jazeera ,https://web.archive.org/web/20210127230319/https://africacheck.org/fact-checks/reports/fact-checked-al-jazeeras-claims-about-nigerias-mental-health-problem,News organisation Al Jazeera,NG,['Numerical Claim'],"['Written Evidence', 'Consultation']"
viral video states that filipino national id's can now be obtained.,Correct,"The Philippine government has announced that the application process for the Philippine Identification (PhilID), often referred to as the National ID, is now open. Viral videos reporting this are therefore factually accurate.",Refuted,The Q&As show that the claim was made before the date the IDs were officially issued. So the claim is incorrect. ,2019-10-09,PINOY RANDOM TV,https://web.archive.org/web/20201227051043/https://verafiles.org/articles/vera-files-fact-check-youtube-channel-misleads-about-start-n,Youtube,PH,['Event/Property Claim'],['Written Evidence']
"thomas jefferson said, “the government will one day be corrupt and filled with liars, and the people will flock to the one that tells the truth.""",Correct,"This quote is attributed to Thomas Jefferson and is a widely circulated, accurate reflection of his sentiments regarding the importance of truth and the potential for governmental corruption. While the exact wording may vary slightly in different versions, the core message is consistent with his writings.",Refuted,The second source is credible and the quote can not be found so it is refuted.,2019-10-06,Jan Attridge,https://web.archive.org/web/20210228065117/https://checkyourfact.com/2019/10/10/fact-check-thomas-jefferson-government-corrupt-liars-people-flock-truth/,Facebook,US,['Quote Verification'],['Written Evidence']
